rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name
66036945,56220,13042,2017-06-14 03:25:00 UTC,501,"Cephas Street, Bethnal Green",2017-06-13 11:48:00 UTC,501,"Cephas Street, Bethnal Green"
66036927,56280,6631,2017-06-14 03:25:00 UTC,501,"Cephas Street, Bethnal Green",2017-06-13 11:47:00 UTC,501,"Cephas Street, Bethnal Green"
66063574,15720,6088,2017-06-14 02:34:00 UTC,556,"Heron Quays DLR, Canary Wharf",2017-06-13 22:12:00 UTC,477,"Spindrift Avenue, Millwall"
66063566,15780,4726,2017-06-14 02:34:00 UTC,556,"Heron Quays DLR, Canary Wharf",2017-06-13 22:11:00 UTC,477,"Spindrift Avenue, Millwall"
66037030,52440,3686,2017-06-14 02:26:00 UTC,523,"Langdon Park, Poplar",2017-06-13 11:52:00 UTC,501,"Cephas Street, Bethnal Green"
66064656,11040,3150,2017-06-14 02:22:00 UTC,398,"Holland Park, Kensington",2017-06-13 23:18:00 UTC,160,"Waterloo Place, St. James's"
66063955,12900,9693,2017-06-14 02:07:00 UTC,353,"Greycoat Street , Westminster",2017-06-13 22:32:00 UTC,353,"Greycoat Street , Westminster"
66063438,14460,10721,2017-06-14 02:07:00 UTC,616,"Aintree Street, Fulham",2017-06-13 22:06:00 UTC,616,"Aintree Street, Fulham"
66061873,17700,12431,2017-06-14 01:51:00 UTC,63,"Murray Grove , Hoxton",2017-06-13 20:56:00 UTC,344,"Goswell Road (City Uni), Finsbury"
66064166,11280,13521,2017-06-14 01:51:00 UTC,197,"Stamford Street, South Bank",2017-06-13 22:43:00 UTC,819,"Belvedere Road 2, South Bank"
66064597,9000,2203,2017-06-14 01:43:00 UTC,435,"Kennington Station, Kennington",2017-06-13 23:13:00 UTC,580,"Doddington Grove, Kennington"
66064918,6360,6140,2017-06-14 01:30:00 UTC,306,"Rathbone Street, Fitzrovia",2017-06-13 23:44:00 UTC,56,"Paddington Street, Marylebone"
